,balanced_accuracy_score,accuracy_score,precision,recall,mcc,AUC,logloss,average_precision,type
0,0.8194264293518334,0.9118468066100938,0.9390842994694439,0.9566929133858267,0.6657193439674542,0.9511274318550583,0.2024393852679575,0.9897281363835905,features_based_analysis
0,0.8272486765729582,0.9127400625279143,0.9422151940436186,0.9542239423461898,0.6726920376797383,0.954602502549885,0.19568951545044425,0.9905385171328819,feature_standard_fasttree_boot_support including bootstrap
1,0.6606086619555331,0.8732134881643591,0.8841621850262856,0.9763779527559056,0.4478629936862259,0.7887078749006022,4.109680141932754,0.9237923564593038,feature_standard_fasttree_boot_support using raw bootstrap values
2,0.6866945718031292,0.8717619472979008,0.8933110160560411,0.9615641265180835,0.461295381282422,0.8237333883463254,0.3285092471884578,0.946091907346166,feature_standard_fasttree_boot_support using single bootstrap feature
0,0.8272486765729582,0.9127400625279143,0.9422151940436186,0.9542239423461898,0.6726920376797383,0.954602502549885,0.19568951545044425,0.9905385171328819,bootstrap_support including bootstrap
1,0.6606086619555331,0.8732134881643591,0.8841621850262856,0.9763779527559056,0.4478629936862259,0.7887078749006022,4.109680141932754,0.9237923564593038,bootstrap_support using raw bootstrap values
2,0.6866945718031292,0.8717619472979008,0.8933110160560411,0.9615641265180835,0.461295381282422,0.8237333883463254,0.3285092471884578,0.946091907346166,bootstrap_support using single bootstrap feature
